target,bucket_us,n_fresh,n,p_fresh,ci_low,ci_high,adequate
direct-27017,0.0,1913,1913,1.0,0.9979958698726072,1.0,True
direct-27017,500.0,1763,1763,1.0,0.9978257247282382,0.9999999999999999,True
direct-27017,1000.0,1767,1767,1.0,0.9978306360094543,0.9999999999999999,True
direct-27017,1500.0,1766,1766,1.0,0.9978294102703881,1.0,True
direct-27017,2000.0,1771,1771,1.0,0.9978355251533434,1.0,True
direct-27017,2500.0,1773,1773,1.0,0.9978379614705105,1.0,True
direct-27017,3000.0,1772,1772,1.0,0.9978367439978879,0.9999999999999998,True
direct-27017,3500.0,1768,1768,1.0,0.9978318603649445,1.0,True
direct-27017,4000.0,1772,1772,1.0,0.9978367439978879,0.9999999999999998,True
direct-27017,4500.0,1771,1771,1.0,0.9978355251533434,1.0,True
direct-27017,5000.0,1772,1772,1.0,0.9978367439978879,0.9999999999999998,True
direct-27017,5500.0,1771,1771,1.0,0.9978355251533434,1.0,True
direct-27017,6000.0,1769,1769,1.0,0.9978330833391995,1.0,True
direct-27017,6500.0,1771,1771,1.0,0.9978355251533434,1.0,True
direct-27017,7000.0,1769,1769,1.0,0.9978330833391995,1.0,True
direct-27017,7500.0,1769,1769,1.0,0.9978330833391995,1.0,True
direct-27017,8000.0,1765,1765,1.0,0.9978281831453988,1.0,True
direct-27017,8500.0,1760,1760,1.0,0.9978220266491049,1.0,True
direct-27017,9000.0,1764,1764,1.0,0.9978269546321344,0.9999999999999999,True
direct-27017,9500.0,1761,1761,1.0,0.9978232607390941,1.0,True
direct-27017,10000.0,1762,1762,1.0,0.9978244934313475,1.0,True
direct-27017,10500.0,1763,1763,1.0,0.9978257247282382,0.9999999999999999,True
direct-27017,11000.0,1760,1760,1.0,0.9978220266491049,1.0,True
direct-27017,11500.0,1762,1762,1.0,0.9978244934313475,1.0,True
direct-27017,12000.0,1762,1762,1.0,0.9978244934313475,1.0,True
direct-27017,12500.0,1763,1763,1.0,0.9978257247282382,0.9999999999999999,True
